plasmid_id,js_divergence_3mer
UCL_CSSB_PlasmidGPT_ATG_0000,0.0
UCL_CSSB_PlasmidGPT_ATG_0001,0.0
UCL_CSSB_PlasmidGPT_ATG_0002,0.0
UCL_CSSB_PlasmidGPT_ATG_0003,0.0
UCL_CSSB_PlasmidGPT_ATG_0004,0.0
UCL_CSSB_PlasmidGPT_ATG_0005,0.0
UCL_CSSB_PlasmidGPT_ATG_0006,0.0
UCL_CSSB_PlasmidGPT_ATG_0007,0.0
UCL_CSSB_PlasmidGPT_ATG_0008,0.0
UCL_CSSB_PlasmidGPT_ATG_0009,0.0
UCL_CSSB_PlasmidGPT_ATG_0010,0.0
UCL_CSSB_PlasmidGPT_ATG_0011,0.0
UCL_CSSB_PlasmidGPT_ATG_0012,0.0
UCL_CSSB_PlasmidGPT_ATG_0013,0.0
UCL_CSSB_PlasmidGPT_ATG_0014,0.0
UCL_CSSB_PlasmidGPT_ATG_0015,0.0
UCL_CSSB_PlasmidGPT_ATG_0016,0.0
UCL_CSSB_PlasmidGPT_ATG_0017,0.0
UCL_CSSB_PlasmidGPT_ATG_0018,0.0
UCL_CSSB_PlasmidGPT_ATG_0019,0.0
UCL_CSSB_PlasmidGPT_ATG_0020,0.0
UCL_CSSB_PlasmidGPT_ATG_0021,0.0
UCL_CSSB_PlasmidGPT_ATG_0022,0.0
UCL_CSSB_PlasmidGPT_ATG_0023,0.0
UCL_CSSB_PlasmidGPT_ATG_0024,0.0
UCL_CSSB_PlasmidGPT_ATG_0025,0.0
UCL_CSSB_PlasmidGPT_ATG_0026,0.0
UCL_CSSB_PlasmidGPT_ATG_0027,0.0
UCL_CSSB_PlasmidGPT_ATG_0028,0.0
UCL_CSSB_PlasmidGPT_ATG_0029,0.0
UCL_CSSB_PlasmidGPT_ATG_0030,0.0
UCL_CSSB_PlasmidGPT_ATG_0031,0.0
UCL_CSSB_PlasmidGPT_ATG_0032,0.0
UCL_CSSB_PlasmidGPT_ATG_0033,0.0
UCL_CSSB_PlasmidGPT_ATG_0034,0.0
UCL_CSSB_PlasmidGPT_ATG_0035,0.0
UCL_CSSB_PlasmidGPT_ATG_0036,0.0
UCL_CSSB_PlasmidGPT_ATG_0037,0.0
UCL_CSSB_PlasmidGPT_ATG_0038,0.0
UCL_CSSB_PlasmidGPT_ATG_0039,0.0
UCL_CSSB_PlasmidGPT_ATG_0040,0.0
UCL_CSSB_PlasmidGPT_ATG_0041,0.0
UCL_CSSB_PlasmidGPT_ATG_0042,0.0
UCL_CSSB_PlasmidGPT_ATG_0043,0.0
UCL_CSSB_PlasmidGPT_ATG_0044,0.0
UCL_CSSB_PlasmidGPT_ATG_0045,0.0
UCL_CSSB_PlasmidGPT_ATG_0046,0.0
UCL_CSSB_PlasmidGPT_ATG_0047,0.0
UCL_CSSB_PlasmidGPT_ATG_0048,0.0
UCL_CSSB_PlasmidGPT_ATG_0049,0.0
