sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2148,3005,-,100.0,100.0
seq_1,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,851,1708,+,100.0,100.0
seq_1,tet(C),tetracycline efflux MFS transporter Tet(C),3730,4350,-,100.0,52.27
seq_10,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1251,2063,-,100.0,100.0
seq_11,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1208,2020,-,100.0,100.0
seq_12,blaTEM-171,class A beta-lactamase TEM-171,1912,2769,+,100.0,100.0
seq_13,blaTEM-171,class A beta-lactamase TEM-171,1808,2665,+,100.0,100.0
seq_14,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1266,2123,+,100.0,100.0
seq_14,tet(C),tetracycline efflux MFS transporter Tet(C),4145,4765,-,100.0,52.27
seq_15,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1915,2772,-,100.0,100.0
seq_17,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1876,2733,-,100.0,100.0
seq_18,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,805,1662,+,100.0,100.0
seq_18,tet(C),tetracycline efflux MFS transporter Tet(C),3684,4304,-,100.0,52.27
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1999,2856,-,100.0,100.0
seq_2,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,3083,3940,-,100.0,100.0
seq_20,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1911,2723,-,100.0,100.0
seq_21,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1388,2200,-,100.0,100.0
seq_22,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1598,2404,+,99.26,100.0
seq_24,blaTEM-171,class A beta-lactamase TEM-171,1308,2165,+,100.0,100.0
seq_25,blaTEM-171,class A beta-lactamase TEM-171,1152,2009,+,100.0,100.0
