Plasmid_ID,reason failed
seq_10,repeat ≥ 50
seq_11,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_12,repeat ≥ 50
seq_13,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_15,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_17,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_19,repeat ≥ 50
seq_21,"ARG low-threshold count 2 outside [1,1]"
seq_22,repeat ≥ 50
seq_24,repeat ≥ 50
seq_25,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_26,repeat ≥ 50
seq_27,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_28,repeat ≥ 50
seq_3,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_30,No ORI; No ARG
seq_32,repeat ≥ 50
seq_36,repeat ≥ 50
seq_37,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_38,repeat ≥ 50
seq_39,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_40,repeat ≥ 50
seq_41,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_43,repeat ≥ 50
seq_44,repeat ≥ 50
seq_47,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_49,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_5,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_50,repeat ≥ 50
seq_51,"ARG low-threshold count 2 outside [1,1]"
seq_52,No ORI; No ARG
seq_54,repeat ≥ 50
seq_55,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_56,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_58,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_59,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_6,repeat ≥ 50
seq_61,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_62,repeat ≥ 50
seq_65,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_67,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_69,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_7,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_71,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_72,repeat ≥ 50
seq_73,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_74,repeat ≥ 50
seq_75,No ORI; No ARG
seq_76,No ORI; No ARG
seq_78,repeat ≥ 50
seq_79,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_8,repeat ≥ 50
seq_80,repeat ≥ 50
seq_82,No ORI; No ARG
seq_83,repeat ≥ 50
seq_89,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_9,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_91,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_92,repeat ≥ 50
seq_93,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_94,repeat ≥ 50
seq_95,No ORI; No ARG
seq_98,repeat ≥ 50
