Plasmid_ID,reason failed
seq_0,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_10,repeat ≥ 50
seq_13,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_15,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_18,No ORI; No ARG
seq_20,repeat ≥ 50
seq_21,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_27,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_29,repeat ≥ 50
seq_3,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_31,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_32,No ORI; No ARG
seq_33,No ORI; No ARG; repeat ≥ 50
seq_36,repeat ≥ 50
seq_37,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_39,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_41,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_43,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_47,repeat ≥ 50
seq_49,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_5,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_51,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_53,repeat ≥ 50
seq_58,No ORI; No ARG
seq_59,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]"
seq_61,"ARG low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_65,"ORI low-threshold count 0 outside [1,1]"
seq_67,repeat ≥ 50
seq_71,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_79,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_84,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_87,repeat ≥ 50
seq_89,repeat ≥ 50
seq_9,"ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_91,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]"
seq_92,No ORI; No ARG
seq_93,repeat ≥ 50
seq_95,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_99,repeat ≥ 50
