sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,980,1792,-,100.0,100.0
seq_1,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1649,2461,-,100.0,100.0
seq_10,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,904,1716,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4548,5405,+,100.0,100.0
seq_12,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,824,1636,-,100.0,100.0
seq_13,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2081,2893,-,100.0,100.0
seq_14,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1185,1997,-,100.0,100.0
seq_15,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1662,2474,-,100.0,100.0
seq_16,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1086,1898,-,100.0,100.0
seq_17,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1656,2468,-,100.0,100.0
seq_18,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,874,1686,-,100.0,100.0
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1425,2282,+,100.0,100.0
seq_19,tet(C),tetracycline efflux MFS transporter Tet(C),4304,4924,-,100.0,52.27
seq_2,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1439,2251,-,100.0,100.0
seq_20,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,943,1755,-,100.0,100.0
seq_21,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2474,3286,-,100.0,100.0
seq_22,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2069,2926,-,100.0,100.0
seq_23,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1653,2465,-,100.0,100.0
seq_24,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1350,2162,-,100.0,100.0
seq_26,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,972,1784,-,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1886,2743,-,100.0,100.0
seq_28,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1074,1886,-,100.0,100.0
seq_29,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2617,3474,-,100.0,100.0
seq_3,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1567,2379,-,100.0,100.0
seq_30,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,891,1703,-,100.0,100.0
seq_31,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1669,2481,-,100.0,100.0
seq_32,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,825,1637,-,100.0,100.0
seq_33,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1671,2483,-,100.0,100.0
seq_34,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1969,2826,-,100.0,100.0
seq_35,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3515,4327,-,100.0,100.0
seq_36,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2029,2886,-,100.0,100.0
seq_37,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1646,2458,-,100.0,100.0
seq_38,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,862,1674,-,100.0,100.0
seq_39,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2697,3554,-,100.0,100.0
seq_4,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1469,2281,-,100.0,100.0
seq_40,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2589,3446,-,100.0,100.0
seq_41,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1915,2727,-,100.0,100.0
seq_42,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,882,1694,-,100.0,100.0
seq_43,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1581,2393,-,100.0,100.0
seq_44,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1031,1843,-,100.0,100.0
